activeFranchise,gameTypeId,lastSeasonId,id,firstSeasonId,franchiseId,gamesPlayed,goalsAgainst,goalsFor,homeLosses,homeOvertimeLosses,homeTies,homeWins,losses,overtimeLosses,penaltyMinutes,pointPctg,points,roadLosses,roadOvertimeLosses,roadTies,roadWins,shootoutLosses,shootoutWins,shutouts,teamId,teamName.x,ties,abbreviation.x,wins,name,abbreviation.y,teamName.y,venue.name,venue.city,division.id,division.name,conference.id,conference.name,perc.total.games.win,perc.total.games.loss,perc.home.win,perc.home.loss,perc.road.win,perc.road.loss
1,2,NA,41,19951996,27,1978,5458,5857,327,62,55,543,728,142,25410,0.5705,2257,401,80,46,464,42,73,124,21,Colorado Avalanche,101,COL,1007,Colorado Avalanche,COL,Avalanche,Ball Arena,Denver,27,Honda West,5,Western,50.91,36.8,55.02,33.13,46.82,40.46
1,2,NA,41,19951996,27,1978,5458,5857,327,62,55,543,728,142,25410,0.5705,2257,401,80,46,464,42,73,124,21,Colorado Avalanche,101,COL,1007,Colorado Avalanche,COL,Avalanche,Ball Arena,Denver,27,Honda West,5,Western,50.91,36.8,55.02,33.13,46.82,40.46
1,2,NA,43,19791980,25,3235,10633,10776,587,74,125,830,1337,167,55008,0.5204,3367,750,93,137,639,69,75,122,22,Edmonton Oilers,262,EDM,1469,Edmonton Oilers,EDM,Oilers,Rogers Place,Edmonton,28,Scotia North,5,Western,45.41,41.33,51.36,36.32,39.47,46.32
1,2,NA,43,19791980,25,3235,10633,10776,587,74,125,830,1337,167,55008,0.5204,3367,750,93,137,639,69,75,122,22,Edmonton Oilers,262,EDM,1469,Edmonton Oilers,EDM,Oilers,Rogers Place,Edmonton,28,Scotia North,5,Western,45.41,41.33,51.36,36.32,39.47,46.32
1,2,NA,45,19701971,20,3945,12999,12138,736,84,210,943,1746,159,66856,0.4877,3848,1010,75,181,706,76,72,169,23,Vancouver Canucks,391,VAN,1649,Vancouver Canucks,VAN,Canucks,Rogers Arena,Vancouver,28,Scotia North,5,Western,41.8,44.26,47.8,37.3,35.8,51.22
1,2,NA,45,19701971,20,3945,12999,12138,736,84,210,943,1746,159,66856,0.4877,3848,1010,75,181,706,76,72,169,23,Vancouver Canucks,391,VAN,1649,Vancouver Canucks,VAN,Canucks,Rogers Arena,Vancouver,28,Scotia North,5,Western,41.8,44.26,47.8,37.3,35.8,51.22
1,2,NA,48,19931994,32,2111,5838,5693,359,82,58,557,834,180,30579,0.5369,2267,475,98,49,433,78,71,137,24,Anaheim Ducks,107,ANA,990,Anaheim Ducks,ANA,Ducks,Honda Center,Anaheim,27,Honda West,5,Western,46.9,39.51,52.75,34,41.04,45.02
1,2,NA,48,19931994,32,2111,5838,5693,359,82,58,557,834,180,30579,0.5369,2267,475,98,49,433,78,71,137,24,Anaheim Ducks,107,ANA,990,Anaheim Ducks,ANA,Ducks,Honda Center,Anaheim,27,Honda West,5,Western,46.9,39.51,52.75,34,41.04,45.02
1,2,NA,49,19931994,15,2109,5609,6022,314,81,65,594,738,162,28050,0.582,2455,424,81,60,490,62,73,150,25,Dallas Stars,125,DAL,1084,Dallas Stars,DAL,Stars,American Airlines Center,Dallas,26,Discover Central,5,Western,51.4,34.99,56.36,29.79,46.45,40.19
1,2,NA,49,19931994,15,2109,5609,6022,314,81,65,594,738,162,28050,0.582,2455,424,81,60,490,62,73,150,25,Dallas Stars,125,DAL,1084,Dallas Stars,DAL,Stars,American Airlines Center,Dallas,26,Discover Central,5,Western,51.4,34.99,56.36,29.79,46.45,40.19
1,2,NA,51,19671968,14,4172,13761,13053,776,71,211,1027,1829,165,65875,0.491,4097,1053,94,213,727,71,69,234,26,Los Angeles Kings,424,LAK,1754,Los Angeles Kings,LAK,Kings,STAPLES Center,Los Angeles,27,Honda West,5,Western,42.04,43.84,49.26,37.22,34.83,50.46
1,2,NA,51,19671968,14,4172,13761,13053,776,71,211,1027,1829,165,65875,0.491,4097,1053,94,213,727,71,69,234,26,Los Angeles Kings,424,LAK,1754,Los Angeles Kings,LAK,Kings,STAPLES Center,Los Angeles,27,Honda West,5,Western,42.04,43.84,49.26,37.22,34.83,50.46
1,2,NA,56,19911992,29,2274,6618,6490,407,84,58,589,920,163,31739,0.533,2424,513,79,63,481,67,76,157,28,San Jose Sharks,121,SJS,1070,San Jose Sharks,SJS,Sharks,SAP Center at San Jose,San Jose,27,Honda West,5,Western,47.05,40.46,51.76,35.76,42.34,45.16
1,2,NA,56,19911992,29,2274,6618,6490,407,84,58,589,920,163,31739,0.533,2424,513,79,63,481,67,76,157,28,San Jose Sharks,121,SJS,1070,San Jose Sharks,SJS,Sharks,SAP Center at San Jose,San Jose,27,Honda West,5,Western,47.05,40.46,51.76,35.76,42.34,45.16
1,2,NA,57,20002001,36,1568,4612,4092,300,77,18,390,698,159,19835,0.4936,1548,398,82,15,288,72,71,105,29,Columbus Blue Jackets,33,CBJ,678,Columbus Blue Jackets,CBJ,Blue Jackets,Nationwide Arena,Columbus,26,Discover Central,6,Eastern,43.24,44.52,49.68,38.22,36.78,50.83
1,2,NA,57,20002001,36,1568,4612,4092,300,77,18,390,698,159,19835,0.4936,1548,398,82,15,288,72,71,105,29,Columbus Blue Jackets,33,CBJ,678,Columbus Blue Jackets,CBJ,Blue Jackets,Nationwide Arena,Columbus,26,Discover Central,6,Eastern,43.24,44.52,49.68,38.22,36.78,50.83
1,2,NA,59,20002001,37,1567,4135,4166,243,84,28,429,599,154,17134,0.5511,1727,356,70,27,330,70,71,113,30,Minnesota Wild,55,MIN,759,Minnesota Wild,MIN,Wild,Xcel Energy Center,St. Paul,27,Honda West,5,Western,48.44,38.23,54.72,30.99,42.15,45.47
1,2,NA,59,20002001,37,1567,4135,4166,243,84,28,429,599,154,17134,0.5511,1727,356,70,27,330,70,71,113,30,Minnesota Wild,55,MIN,759,Minnesota Wild,MIN,Wild,Xcel Energy Center,St. Paul,27,Honda West,5,Western,48.44,38.23,54.72,30.99,42.15,45.47
1,2,NA,96,20112012,35,749,2151,2209,136,33,NA,207,292,75,7621,0.5601,839,156,42,NA,175,30,36,46,52,Winnipeg Jets,NA,WPG,382,Winnipeg Jets,WPG,Jets,Bell MTS Place,Winnipeg,28,Scotia North,5,Western,51,38.99,NA,NA,NA,NA
1,2,NA,96,20112012,35,749,2151,2209,136,33,NA,207,292,75,7621,0.5601,839,156,42,NA,175,30,36,46,52,Winnipeg Jets,NA,WPG,382,Winnipeg Jets,WPG,Jets,Bell MTS Place,Winnipeg,28,Scotia North,5,Western,51,38.99,NA,NA,NA,NA
1,2,NA,97,20142015,28,536,1619,1345,120,30,NA,116,262,60,4715,0.4552,488,142,30,NA,98,22,26,28,53,Arizona Coyotes,NA,ARI,214,Arizona Coyotes,ARI,Coyotes,Gila River Arena,Glendale,27,Honda West,5,Western,39.93,48.88,NA,NA,NA,NA
1,2,NA,97,20142015,28,536,1619,1345,120,30,NA,116,262,60,4715,0.4552,488,142,30,NA,98,22,26,28,53,Arizona Coyotes,NA,ARI,214,Arizona Coyotes,ARI,Coyotes,Gila River Arena,Glendale,27,Honda West,5,Western,39.93,48.88,NA,NA,NA,NA
1,2,NA,98,20172018,38,291,793,939,38,13,NA,96,94,24,2117,0.6357,370,56,11,NA,77,9,11,27,54,Vegas Golden Knights,NA,VGK,173,Vegas Golden Knights,VGK,Golden Knights,T-Mobile Arena,Las Vegas,27,Honda West,5,Western,59.45,32.3,NA,NA,NA,NA
1,2,NA,98,20172018,38,291,793,939,38,13,NA,96,94,24,2117,0.6357,370,56,11,NA,77,9,11,27,54,Vegas Golden Knights,NA,VGK,173,Vegas Golden Knights,VGK,Golden Knights,T-Mobile Arena,Las Vegas,27,Honda West,5,Western,59.45,32.3,NA,NA,NA,NA
